alert_id,cve_id
AA22-055A,T1082
AA22-055A,T1083
AA22-055A,T1555
AA22-055A,T1005
AA22-055A,T1053
AA22-055A,T1036
AA22-055A,T1049
AA22-055A,T1548
AA22-055A,T1090
AA22-055A,T1105
AA22-055A,T1001
AA22-055A,T1137
AA22-055A,T1559
AA22-055A,T1057
AA22-055A,T1027
AA22-054A,T1573
AA22-054A,T1090
AA22-054A,T1037
AA22-054A,T1071
AA22-054A,T1562
AA22-054A,T1059
AA22-054A,T1041
AA22-054A,T1132
AA22-054A,T1571
AA22-054A,T1133
AA22-054A,T1082
AA22-054A,T1008
AA22-054A,T1036
AA22-054A,T1542
AA22-047A,T1482
AA22-047A,T1078
AA22-047A,T1090
AA22-047A,T1213
AA22-047A,T1566
AA22-047A,T1114
AA22-047A,T1003
AA22-047A,T1190
AA22-047A,T1133
AA22-047A,T1083
AA22-047A,T1110
AA22-047A,T1589
AA22-047A,T1027
AA22-011A,T1078
AA22-011A,T1090
AA22-011A,T1195
AA22-011A,T1558
AA22-011A,T1059
AA22-011A,T1003
AA22-011A,T1190
AA22-011A,T1587
AA22-011A,T1598
AA22-011A,T1595
AA22-011A,T1555
AA22-011A,T1110
AA22-011A,T1552
AA22-011A,T1212
AA21-336A,T1140
AA21-336A,T1573
AA21-336A,T1136
AA21-336A,T1003
AA21-336A,T1190
AA21-336A,T1087
AA21-336A,T1218
AA21-336A,T1070
AA21-336A,T1047
AA21-336A,T1505
AA21-336A,T1560
AA21-336A,T1027
AA21-321A,T1588
AA21-321A,T1486
AA21-321A,T1136
AA21-321A,T1190
AA21-321A,T1053
AA21-321A,T1560
AA21-291A,T1486
AA21-291A,T1003
AA21-291A,T1018
AA21-291A,T1021
AA21-291A,T1561
AA21-291A,T1133
AA21-291A,T1057
AA21-291A,T1567
AA21-291A,T1007
AA21-287A,T0827
AA21-287A,T1566
AA21-287A,T1210
AA21-265A,T1566
AA21-265A,T1558
AA21-265A,T1080
AA21-265A,T1135
AA21-265A,T1110
AA21-265A,T1021
AA21-265A,T1133
AA21-265A,T1140
AA21-265A,T1078
AA21-265A,T1106
AA21-265A,T1016
AA21-265A,T1486
AA21-265A,T1489
AA21-265A,T1059
AA21-265A,T1083
AA21-265A,T1055
AA21-265A,T1049
AA21-265A,T1490
AA21-265A,T1057
AA21-265A,T1027
AA21-259A,T1140
AA21-259A,T1573
AA21-259A,T1136
AA21-259A,T1003
AA21-259A,T1190
AA21-259A,T1218
AA21-259A,T1070
AA21-259A,T1047
AA21-259A,T1505
AA21-259A,T1560
AA21-259A,T1027
AA21-201A,T1566
AA21-201A,T1213
AA21-201A,T1598
AA21-201A,T1204
AA21-201A,T1120
AA21-200B,T1566
AA21-200B,T1046
AA21-200B,T1114
AA21-200B,T1590
AA21-200B,T1003
AA21-200B,T1070
AA21-200B,T1583
AA21-200B,T1588
AA21-200B,T1556
AA21-200B,T1071
AA21-200B,T1069
AA21-200B,T1018
AA21-200B,T1190
AA21-200B,T1218
AA21-200B,T1572
AA21-200B,T1484
AA21-200B,T1133
AA21-200B,T1189
AA21-200B,T1595
AA21-200B,T1074
AA21-200B,T1505
AA21-200B,T1560
AA21-200B,T1212
