Cluster ID,Id
0,0
0,572
1,1
1,48
1,118
1,617
1,1286
2,2
2,105
2,495
2,2159
2,2330
3,3
3,5
3,35
3,36
3,38
3,58
3,59
3,73
3,82
3,86
3,88
3,95
3,101
3,104
3,106
3,108
3,112
3,116
3,140
3,143
3,176
3,183
3,187
3,193
3,195
3,207
3,214
3,234
3,239
3,241
3,252
3,280
3,306
3,308
3,310
3,312
3,315
3,319
3,343
3,348
3,351
3,361
3,446
3,448
3,450
3,457
3,474
3,475
3,479
3,484
3,488
3,513
3,538
3,542
3,559
3,567
3,599
3,610
3,612
3,615
3,627
3,628
3,629
3,638
3,642
3,643
3,679
3,681
3,686
3,708
3,713
3,715
3,718
3,721
3,722
3,729
3,738
3,757
3,766
3,771
3,774
3,781
3,783
3,789
3,791
3,820
3,822
3,829
3,830
3,833
3,842
3,855
3,857
3,865
3,897
3,930
3,938
3,975
3,976
3,989
3,995
3,1011
3,1017
3,1057
3,1066
3,1071
3,1074
3,1088
3,1098
3,1120
3,1126
3,1127
3,1129
3,1130
3,1131
3,1153
3,1163
3,1167
3,1175
3,1221
3,1222
3,1225
3,1235
3,1237
3,1239
3,1264
3,1266
3,1267
3,1268
3,1285
3,1289
3,1293
3,1302
3,1303
3,1316
3,1318
3,1365
3,1377
3,1391
3,1398
3,1414
3,1462
3,1477
3,1480
3,1481
3,1490
3,1495
3,1498
3,1500
3,1502
3,1507
3,1508
3,1510
3,1511
3,1513
3,1516
3,1529
3,1545
3,1548
3,1559
3,1567
3,1574
3,1633
3,1634
3,1637
3,1642
3,1643
3,1701
3,1739
3,1743
3,1768
3,1786
3,1789
3,1790
3,1829
3,1868
3,1870
3,1872
3,1882
3,1884
3,1893
3,1907
3,1953
3,1954
3,2045
3,2055
3,2056
3,2068
3,2069
3,2073
3,2074
3,2085
3,2093
3,2100
3,2101
3,2135
3,2145
3,2147
3,2151
3,2164
3,2171
3,2182
3,2183
3,2210
3,2215
3,2219
3,2220
3,2221
3,2222
3,2224
3,2228
3,2230
3,2236
3,2280
3,2282
3,2303
3,2310
3,2313
3,2314
3,2316
3,2320
3,2323
3,2324
3,2325
3,2326
3,2327
3,2328
3,2329
3,2331
3,2332
3,2333
3,2334
3,2336
3,2340
3,2342
3,2351
3,2360
3,2371
3,2373
3,2375
3,2389
3,2398
3,2399
3,2403
3,2406
3,2407
3,2408
3,2409
3,2410
3,2411
3,2412
3,2413
3,2414
3,2415
3,2416
3,2417
3,2425
3,2437
3,2440
3,2495
3,2498
3,2500
3,2503
3,2505
3,2517
3,2520
3,2521
3,2522
3,2530
3,2545
3,2557
3,2590
3,2603
3,2605
3,2627
3,2646
3,2662
3,2665
3,2678
3,2680
3,2692
3,2695
3,2722
3,2726
3,2728
3,2744
3,2750
3,2754
3,2770
3,2772
3,2819
3,2821
3,2863
3,2868
3,2876
3,2882
3,2883
3,2891
3,2894
3,2940
3,2956
3,2969
3,2979
3,2983
3,2989
3,3006
3,3032
3,3036
3,3037
3,3048
3,3051
3,3077
3,3078
3,3079
3,3110
3,3114
3,3139
3,3140
3,3143
3,3147
3,3152
3,3173
3,3175
3,3203
3,3207
3,3208
3,3219
3,3236
3,3385
3,3425
3,3458
3,3509
3,3554
3,3590
3,3593
3,3595
4,4
4,146
4,362
4,363
4,387
4,497
4,498
4,499
4,634
4,1064
4,1117
4,1160
4,1250
4,1525
4,1599
4,2390
4,2391
4,2464
4,2613
4,2804
5,6
5,444
5,485
5,2607
5,2751
5,2853
5,2881
6,11
6,200
6,398
6,416
6,447
6,1766
6,2386
6,3008
6,3500
7,12
7,320
7,329
7,332
7,392
7,404
7,405
7,408
7,523
7,524
7,525
7,562
7,656
7,1087
7,1146
7,1210
7,1301
7,1920
7,1924
7,1925
7,1926
7,2007
7,2447
7,2460
7,2641
7,2670
7,2671
7,3286
7,3314
7,3316
7,3377
7,3494
8,13
8,14
8,18
8,165
8,296
8,321
8,961
8,1031
8,1048
8,1197
8,1257
8,1311
8,1312
8,1397
8,1551
8,1555
8,1628
8,1787
8,2287
8,2288
8,2457
8,2717
8,2951
8,2952
8,2973
8,3149
8,3255
8,3317
8,3348
8,3449
9,15
9,16
9,25
9,63
9,64
9,70
9,71
9,72
9,75
9,77
9,78
9,100
9,136
9,177
9,179
9,180
9,186
9,194
9,196
9,254
9,301
9,302
9,337
9,340
9,358
9,360
9,528
9,563
9,595
9,596
9,654
9,657
9,663
9,874
9,986
9,1036
9,1039
9,1105
9,1201
9,1211
9,1213
9,1244
9,1247
9,1315
9,1347
9,1354
9,1360
9,1361
9,1362
9,1363
9,1364
9,1369
9,1374
9,1396
9,1403
9,1409
9,1467
9,1521
9,1535
9,1572
9,1595
9,1748
9,1858
9,1892
9,1895
9,1896
9,1928
9,1937
9,1952
9,1985
9,1994
9,2009
9,2044
9,2046
9,2054
9,2070
9,2079
9,2245
9,2255
9,2256
9,2258
9,2259
9,2267
9,2385
9,2388
9,2468
9,2470
9,2475
9,2476
9,2477
9,2529
9,2541
9,2542
9,2543
9,2585
9,2720
9,2742
9,2862
9,2907
9,2925
9,2926
9,2927
9,2928
9,2939
9,2941
9,2945
9,2974
9,2975
9,2977
9,3012
9,3019
9,3020
9,3021
9,3026
9,3027
9,3030
9,3065
9,3070
9,3071
9,3095
9,3128
9,3163
9,3238
9,3248
9,3281
9,3351
9,3370
9,3373
9,3375
9,3391
9,3443
9,3444
9,3447
9,3448
9,3469
9,3472
9,3534
9,3558
9,3559
9,3569
10,21
10,94
11,23
11,941
11,1070
11,1838
11,2013
11,2978
12,31
12,65
12,225
12,355
12,465
12,467
12,954
12,1006
12,1217
12,1219
12,1243
12,1348
12,1351
12,1356
12,1753
12,1792
12,1995
12,2076
12,2686
12,2758
12,2799
12,3029
12,3240
12,3242
12,3243
12,3244
12,3245
13,32
13,481
13,646
13,683
14,33
14,618
14,1021
14,1027
14,1035
14,1178
14,1180
14,1808
14,2197
14,2830
15,34
15,422
15,611
15,680
15,834
15,1161
15,1232
15,1418
15,1632
15,1639
15,1719
15,2024
15,2067
15,2400
15,2441
15,2551
16,37
16,236
16,257
16,423
16,1835
16,2278
16,2631
16,2905
17,39
17,235
17,313
17,386
17,456
17,684
17,756
17,836
17,952
17,1176
17,1272
17,2184
17,2499
17,2623
17,2624
17,2938
18,41
18,83
18,331
18,550
18,636
18,826
18,1075
18,2095
18,2202
18,2626
18,3067
19,42
19,169
19,378
19,609
19,1751
19,1793
19,2315
19,2652
19,3066
19,3125
20,44
20,61
20,126
20,127
20,334
20,468
20,1168
20,1610
20,3017
21,49
21,208
21,751
21,2128
21,2289
21,2455
22,53
22,268
22,586
22,2788
22,2992
23,60
23,1134
23,1139
23,1140
23,1408
23,1818
23,2433
23,2537
23,2632
24,62
24,223
24,240
24,899
24,917
24,918
24,936
24,1401
24,2961
25,69
25,1908
26,76
26,1200
26,1202
26,1933
26,1947
26,1986
26,2244
26,2469
26,2566
26,2913
26,2914
26,2958
26,3025
26,3145
26,3261
26,3287
26,3517
27,79
27,330
27,568
27,648
27,650
27,851
27,1053
27,1054
27,1206
27,1855
27,1897
27,1917
27,1948
27,2871
27,2872
27,3039
27,3062
27,3467
27,3468
27,3489
27,3527
27,3536
28,81
28,639
28,1072
28,1078
28,1119
28,1482
28,1759
28,1760
28,3515
29,84
29,406
29,1496
29,3018
29,3022
29,3327
30,87
30,935
30,946
31,90
31,1865
32,92
32,379
32,828
32,959
32,1143
32,1317
32,1455
32,1672
32,1910
32,1922
32,2017
32,2023
32,2452
32,2514
32,2612
32,3011
32,3214
32,3229
32,3230
32,3271
32,3439
32,3450
32,3470
32,3528
32,3561
33,102
33,262
33,1635
34,103
34,844
34,845
34,2066
34,2302
